"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RWBWZZCR","conferencePaper","2018","Gulyas, Gabor Gyorgy; Some, Doliere Francis; Bielova, Nataliia; Castelluccia, Claude","To Extend or not to Extend: On the Uniqueness of Browser Extensions and Web Logins","Proceedings of the 2018 Workshop on Privacy in the Electronic Society","978-1-4503-5989-4","","10.1145/3267323.3268959","https://doi.org/10.1145/3267323.3268959","Recent works showed that websites can detect browser extensions that users install and websites they are logged into. This poses significant privacy risks, since extensions and Web logins that reflect user's behavior, can be used to uniquely identify users on the Web. This paper reports on the first large-scale behavioral uniqueness study based on 16,393 users who visited our website. We test and detect the presence of 16,743 Chrome extensions, covering 28% of all free Chrome extensions. We also detect whether the user is connected to 60 different websites. We analyze how unique users are based on their behavior, and find out that 54.86% of users that have installed at least one detectable extension are unique; 19.53% of users are unique among those who have logged into one or more detectable websites; and 89.23% are unique among users with at least one extension and one login. We use an advanced fingerprinting algorithm and show that it is possible to identify a user in less than 625 milliseconds by selecting the most unique combinations of extensions. Because privacy extensions contribute to the uniqueness of users, we study the trade-off between the amount of trackers blocked by such extensions and how unique the users of these extensions are. We have found that privacy extensions should be considered more useful than harmful. The paper concludes with possible countermeasures.","2018","2024-10-25 09:42:13","2024-10-25 09:42:13","","14–27","","","","","","","WPES'18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Toronto, Canada","","","","web tracking; fingerprinting; anonymity; uniqueness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U9BXMZNI","conferencePaper","2017","Panchenko, Andriy; Mitseva, Asya; Henze, Martin; Lanze, Fabian; Wehrle, Klaus; Engel, Thomas","Analysis of Fingerprinting Techniques for Tor Hidden Services","Proceedings of the 2017 on Workshop on Privacy in the Electronic Society","978-1-4503-5175-1","","10.1145/3139550.3139564","https://doi.org/10.1145/3139550.3139564","The website fingerprinting attack aims to infer the content of encrypted and anonymized connections by analyzing traffic patterns such as packet sizes, their order, and direction. Although it has been shown that no existing fingerprinting method scales in Tor when applied in realistic settings, the case of Tor hidden (onion) services has not yet been considered in such scenarios. Recent works claim the feasibility of the attack in the context of hidden services using limited datasets.In this work, we propose a novel two-phase approach for fingerprinting hidden services that does not rely on malicious Tor nodes. In our attack, the adversary merely needs to be on the link between the client and the first anonymization node. In the first phase, we detect a connection to a hidden service. Once a hidden service communication is detected, we determine the visited hidden service (phase two) within the hidden service universe. To estimate the scalability of our and other existing methods, we constructed the most extensive and realistic dataset of existing hidden services. Using this dataset, we show the feasibility of phase one of the attack and establish that phase two does not scale using existing classifiers. We present a comprehensive comparison of the performance and limits of the state-of-the-art website fingerprinting attacks with respect to Tor hidden services.","2017","2024-10-25 09:42:13","2024-10-25 09:42:13","","165–175","","","","","","","WPES '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Dallas, Texas, USA","","","","privacy; web privacy; anonymous communication; onion routing; traffic analysis; website fingerprinting; onion services; tor hidden services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"537PX9GL","conferencePaper","2016","Baumann, Peter; Katzenbeisser, Stefan; Stopczynski, Martin; Tews, Erik","Disguised Chromium Browser: Robust Browser, Flash and Canvas Fingerprinting Protection","Proceedings of the 2016 ACM on Workshop on Privacy in the Electronic Society","978-1-4503-4569-9","","10.1145/2994620.2994621","https://doi.org/10.1145/2994620.2994621","Browser fingerprinting is a widely used technique to uniquely identify web users and to track their online behavior. Until now, different tools have been proposed to protect the user against browser fingerprinting. However, these tools have usability restrictions as they deactivate browser features and plug-ins (like Flash) or the HTML5 canvas element. In addition, all of them only provide limited protection, as they randomize browser settings with unrealistic parameters or have methodical flaws, making them detectable for trackers.In this work we demonstrate the first anti-fingerprinting strategy, which protects against Flash fingerprinting without deactivating it, provides robust and undetectable anti-canvas fingerprinting, and uses a large set of real word data to hide the actual system and browser properties without losing usability. We discuss the methods and weaknesses of existing anti-fingerprinting tools in detail and compare them to our enhanced strategies. Our evaluation against real world fingerprinting tools shows a successful fingerprinting protection in over 99% of 70.000 browser sessions.","2016","2024-10-25 09:42:13","2024-10-25 09:42:13","","37–46","","","","","","","WPES '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Vienna, Austria","","","","privacy; flash; tracking; fingerprinting; browser; canvas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZLMC4DE","conferencePaper","2020","Mishra, Vikas; Laperdrix, Pierre; Vastel, Antoine; Rudametkin, Walter; Rouvoy, Romain; Lopatka, Martin","Don’t Count Me Out: On the Relevance of IP&nbsp;Address in&nbsp;the&nbsp;Tracking&nbsp;Ecosystem","Proceedings of The Web Conference 2020","978-1-4503-7023-3","","10.1145/3366423.3380161","https://doi.org/10.1145/3366423.3380161","Targeted online advertising has become an inextricable part of the way Web content and applications are monetized. At the beginning, online advertising consisted of simple ad-banners broadly shown to website visitors. Over time, it evolved into a complex ecosystem that tracks and collects a wealth of data to learn user habits and show targeted and personalized ads. To protect users against tracking, several countermeasures have been proposed, ranging from browser extensions that leverage filter lists, to features natively integrated into popular browsers like Firefox and Brave to combat more modern techniques like browser fingerprinting. Nevertheless, few browsers offer protections against IP address-based tracking techniques. Notably, the most popular browsers, Chrome, Firefox, Safari and Edge do not offer any. In this paper, we study the stability of the public IP addresses a user device uses to communicate with our server. Over time, a same device communicates with our server using a set of distinct IP addresses, but we find that devices reuse some of their previous IP addresses for long periods of time. We call this IP address retention and, the duration for which an IP address is retained by a device, is named the IP address retention period. We present an analysis of 34,488 unique public IP addresses collected from 2,230 users over a period of 111 days and we show that IP addresses remain a prime vector for online tracking. 87&nbsp;% of participants retain at least one IP address for more than a month and 45&nbsp;% of ISPs in our dataset allow keeping the same IP address for more than 30 days. Furthermore, we also detect the presence of cycles of IP addresses in a user’s history and highlight their potential to be abused to infer traits of the user behaviour, as well as mobility traces. Our findings paint a bleak picture of the current state of online tracking at a time where IP addresses are overlooked compared to other techniques like cookies or fingerprinting.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","808–815","","","","","","","WWW '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taipei, Taiwan","","","","IP address tracking; online privacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHRDN9XT","conferencePaper","2013","Han, Seungyeop; Liu, Vincent; Pu, Qifan; Peter, Simon; Anderson, Thomas; Krishnamurthy, Arvind; Wetherall, David","Expressive privacy control with pseudonyms","Proceedings of the ACM SIGCOMM 2013 Conference on SIGCOMM","978-1-4503-2056-6","","10.1145/2486001.2486032","https://doi.org/10.1145/2486001.2486032","As personal information increases in value, the incentives for remote services to collect as much of it as possible increase as well. In the current Internet, the default assumption is that all behavior can be correlated using a variety of identifying information, not the least of which is a user's IP address. Tools like Tor, Privoxy, and even NATs, are located at the opposite end of the spectrum and prevent any behavior from being linked. Instead, our goal is to provide users with more control over linkability—which activites of the user can be correlated at the remote services—not necessarily more anonymity. We design a cross-layer architecture that provides users with a pseudonym abstraction. To the user, a pseudonym represents a set of activities that the user is fine with linking, and to the outside world, a pseudonym gives the illusion of a single machine. We provide this abstraction by associating each pseudonym with a unique, random address drawn from the IPv6 address space, which is large enough to provide each device with multiple globally-routable addresses. We have implemented and evaluated a prototype that is able to provide unlinkable pseudonyms within the Chrome web browser in order to demonstrate the feasibility, efficacy, and expressiveness of our approach.","2013","2024-10-25 09:42:13","2024-10-25 09:42:13","","291–302","","","","","","","SIGCOMM '13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Hong Kong, China","","","","privacy; web tracking; ipv6; pseudonym","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGY7NVZM","conferencePaper","2016","Zhang, Amy X.; Blum, Joshua; Karger, David R.","Opportunities and Challenges Around a Tool for Social and Public Web Activity Tracking","Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work &amp; Social Computing","978-1-4503-3592-8","","10.1145/2818048.2819949","https://doi.org/10.1145/2818048.2819949","While the web contains many social websites, people are generally left in the dark about the activities of other people traversing the web as a whole. In this paper, we explore the potential benefits and privacy considerations around generating a real-time, publicly accessible stream of web activity where users can publish chosen parts of their web browsing data. Taking inspiration from social media systems, we describe individual benefits that can be unlocked by such sharing and that may incentivize users to publish aspects of their browsing. We ask whether and how these benefits outweigh potential costs in lost privacy. We conduct our study of public web activity sharing through scenario-based interviews and a field deployment of a tool for web activity sharing.","2016","2024-10-25 09:42:13","2024-10-25 09:42:13","","913–925","","","","","","","CSCW '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, California, USA","","","","privacy; web tracking; activity traces; self-presentation; sharing motivations; social media; web analytics; web browsing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQPCPQLE","conferencePaper","2016","Wang, Weihang; Zheng, Yunhui; Xing, Xinyu; Kwon, Yonghwi; Zhang, Xiangyu; Eugster, Patrick","WebRanz: web page randomization for better advertisement delivery and web-bot prevention","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","978-1-4503-4218-6","","10.1145/2950290.2950352","https://doi.org/10.1145/2950290.2950352","Nowadays, a rapidly increasing number of web users are using Ad-blockers to block online advertisements. Ad-blockers are browser-based software that can block most Ads on the websites, speeding up web browsers and saving bandwidth. Despite these benefits to end users, Ad-blockers could be catastrophic for the economic structure underlying the web, especially considering the rise of Ad-blocking as well as the number of technologies and services that rely exclusively on Ads to compensate their cost. In this paper, we introduce WebRanz that utilizes a randomization mechanism to circumvent Ad-blocking. Using WebRanz, content publishers can constantly mutate the internal HTML elements and element attributes of their web pages, without affecting their visual appearances and functionalities. Randomization invalidates the pre-defined patterns that Ad-blockers use to filter out Ads. Though the design of WebRanz is motivated by evading Ad-blockers, WebRanz also benefits the defense against bot scripts. We evaluate the effectiveness of WebRanz and its overhead using 221 randomly sampled top Alexa web pages and 8 representative bot scripts.","2016","2024-10-25 09:42:13","2024-10-25 09:42:13","","205–216","","","","","","","FSE 2016","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Seattle, WA, USA","","","","randomization; Ad-blockers; web bots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TWVUKRS","conferencePaper","2015","Walls, Robert J.; Kilmer, Eric D.; Lageman, Nathaniel; McDaniel, Patrick D.","Measuring the Impact and Perception of Acceptable Advertisements","Proceedings of the 2015 Internet Measurement Conference","978-1-4503-3848-6","","10.1145/2815675.2815703","https://doi.org/10.1145/2815675.2815703","In 2011, Adblock Plus—the most widely-used ad blocking software—began to permit some advertisements as part of their Acceptable Ads program. Under this program, some ad networks and content providers pay to have their advertisements shown to users. Such practices have been controversial among both users and publishers. In a step towards informing the discussion about these practices, we present the first comprehensive study of the Acceptable Ads program. Specifically, we characterize which advertisements are allowed and how the whitelisting has changed since its introduction in 2011. We show that the list of filters used to whitelist acceptable advertisements has been updated on average every 1.5 days and grew from 9 filters in 2011 to over 5,900 in the Spring of 2015. More broadly, the current whitelist triggers filters on 59% of the top 5,000 websites. Our measurements also show that the program allows advertisements on 2.6 million parked domains. Lastly, we take the lessons learned from our analysis and suggest ways to improve the transparency of the whitelisting process.","2015","2024-10-25 09:42:13","2024-10-25 09:42:13","","107–120","","","","","","","IMC '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tokyo, Japan","","","","adblock plus; acceptable ads; ad avoidance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X9QSA7PG","conferencePaper","2020","Agarwal, Pushkal; Joglekar, Sagar; Papadopoulos, Panagiotis; Sastry, Nishanth; Kourtellis, Nicolas","Stop tracking me Bro! Differential Tracking of User Demographics on Hyper-Partisan Websites","Proceedings of The Web Conference 2020","978-1-4503-7023-3","","10.1145/3366423.3380221","https://doi.org/10.1145/3366423.3380221","Websites with hyper-partisan, left or right-leaning focus offer content that is typically biased towards the expectations of their target audience. Such content often polarizes users, who are repeatedly primed to specific (extreme) content, usually reflecting hard party lines on political and socio-economic topics. Though this polarization has been extensively studied with respect to content, it is still unknown how it associates with the online tracking experienced by browsing users, especially when they exhibit certain demographic characteristics. For example, it is unclear how such websites enable the ad-ecosystem to track users based on their gender or age. In this paper, we take a first step to shed light and measure such potential differences in tracking imposed on users when visiting specific party-line’s websites. For this, we design and deploy a methodology to systematically probe such websites and measure differences in user tracking. This methodology allows us to create user personas with specific attributes like gender and age and automate their browsing behavior in a consistent and repeatable manner. Thus, we systematically study how personas are being tracked by these websites and their third parties, especially if they exhibit particular demographic properties. Overall, we test 9 personas on 556 hyper-partisan websites and find that right-leaning websites tend to track users more intensely than left-leaning, depending on user demographics, using both cookies and cookie synchronization methods and leading to more costly delivered ads.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","1479–1490","","","","","","","WWW '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taipei, Taiwan","","","","advertisements; hyper-partisan news; web cookies; web tracking.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJ5AT8FI","conferencePaper","2019","Alrizah, Mshabab; Zhu, Sencun; Xing, Xinyu; Wang, Gang","Errors, Misunderstandings, and Attacks: Analyzing the Crowdsourcing Process of Ad-blocking Systems","Proceedings of the Internet Measurement Conference","978-1-4503-6948-0","","10.1145/3355369.3355588","https://doi.org/10.1145/3355369.3355588","Ad-blocking systems such as Adblock Plus rely on crowdsourcing to build and maintain filter lists, which are the basis for determining which ads to block on web pages. In this work, we seek to advance our understanding of the ad-blocking community as well as the errors and pitfalls of the crowdsourcing process. To do so, we collected and analyzed a longitudinal dataset that covered the dynamic changes of popular filter-list EasyList for nine years and the error reports submitted by the crowd in the same period.Our study yielded a number of significant findings regarding the characteristics of FP and FN errors and their causes. For instances, we found that false positive errors (i.e., incorrectly blocking legitimate content) still took a long time before they could be discovered (50% of them took more than a month) despite the community effort. Both EasyList editors and website owners were to blame for the false positives. In addition, we found that a great number of false negative errors (i.e., failing to block real advertisements) were either incorrectly reported or simply ignored by the editors. Furthermore, we analyzed evasion attacks from ad publishers against ad-blockers. In total, our analysis covers 15 types of attack methods including 8 methods that have not been studied by the research community. We show how ad publishers have utilized them to circumvent ad-blockers and empirically measure the reactions of ad blockers. Through in-depth analysis, our findings are expected to help shed light on any future work to evolve ad blocking and optimize crowdsourcing mechanisms.","2019","2024-10-25 09:42:13","2024-10-25 09:42:13","","230–244","","","","","","","IMC '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Amsterdam, Netherlands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DB9235TX","conferencePaper","2020","Subramani, Karthika; Yuan, Xingzi; Setayeshfar, Omid; Vadrevu, Phani; Lee, Kyu Hyung; Perdisci, Roberto","When Push Comes to Ads: Measuring the Rise of (Malicious) Push Advertising","Proceedings of the ACM Internet Measurement Conference","978-1-4503-8138-3","","10.1145/3419394.3423631","https://doi.org/10.1145/3419394.3423631","The rapid growth of online advertising has fueled the growth of ad-blocking software, such as new ad-blocking and privacy-oriented browsers or browser extensions. In response, both ad publishers and ad networks are constantly trying to pursue new strategies to keep up their revenues. To this end, ad networks have started to leverage the Web Push technology enabled by modern web browsers. As web push notifications (WPNs) are relatively new, their role in ad delivery has not yet been studied in depth. Furthermore, it is unclear to what extent WPN ads are being abused for malvertising (i.e., to deliver malicious ads). In this paper, we aim to fill this gap. Specifically, we propose a system called PushAdMiner that is dedicated to (1) automatically registering for and collecting a large number of web-based push notifications from publisher websites, (2) finding WPN-based ads among these notifications, and (3) discovering malicious WPN-based ad campaigns.Using PushAdMiner, we collected and analyzed 21,541 WPN messages by visiting thousands of different websites. Among these, our system identified 572 WPN ad campaigns, for a total of 5,143 WPN-based ads that were pushed by a variety of ad networks. Furthermore, we found that 51% of all WPN ads we collected are malicious, and that traditional ad-blockers and URL filters were mostly unable to block them, thus leaving a significant abuse vector unchecked.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","724–737","","","","","","","IMC '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNINTZNA","conferencePaper","2022","Samarasinghe, Nayanamana; Adhikari, Aashish; Mannan, Mohammad; Youssef, Amr","Et tu, Brute? Privacy Analysis of Government Websites and Mobile Apps","Proceedings of the ACM Web Conference 2022","978-1-4503-9096-5","","10.1145/3485447.3512223","https://doi.org/10.1145/3485447.3512223","Past privacy measurement studies on web tracking focused on high-ranked commercial websites, as user tracking is extensively used for monetization on those sites. Conversely, governments across the globe now offer services online, which unlike commercial sites, are funded by public money, and do not generally make it to the top million website lists. As such, web tracking on those services has not been comprehensively studied, even though these services deal with privacy and security-sensitive user data, and used by a significant number of users. In this paper, we perform privacy and security measurements on government websites and Android apps: 150,244 unique websites (from 206 countries) and 1166 Android apps (from 71 countries). We found numerous commercial trackers on these services—e.g., 17% of government websites and 37% of government Android apps host Google trackers; 13% of government sites contain YouTube cookies with an expiry date in the year of 9999. 27% of government Android apps leak sensitive information (e.g., user/device identifiers, passwords, API keys) to third parties, or any network attacker (when sent over HTTP). We also found 304 government sites and 40 apps are flagged by VirusTotal as malicious. We hope our findings to help improve privacy and security of online government services, given that governments are now apparently taking Internet privacy/security seriously and imposing strict regulations on commercial sites.","2022","2024-10-25 09:42:13","2024-10-25 09:42:13","","564–575","","","","","","","WWW '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Lyon, France","","","","privacy; tracking; security; web; Android; Government services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5EP7J6NY","conferencePaper","2022","Eriksson, Benjamin; Picazo-Sanchez, Pablo; Sabelfeld, Andrei","Hardening the security analysis of browser extensions","Proceedings of the 37th ACM/SIGAPP Symposium on Applied Computing","978-1-4503-8713-2","","10.1145/3477314.3507098","https://doi.org/10.1145/3477314.3507098","Browser extensions boost the browsing experience by a range of features from automatic translation and grammar correction to password management, ad blocking, and remote desktops. Yet the power of extensions poses significant privacy and security challenges because extensions can be malicious and/or vulnerable. We observe that there are gaps in the previous work on analyzing the security of browser extensions and present a systematic study of attack entry points in the browser extension ecosystem. Our study reveals novel password stealing, traffic stealing, and inter-extension attacks. Based on a combination of static and dynamic analysis we show how to discover extension attacks, both known and novel ones, and study their prevalence in the wild. We show that 1,349 extensions are vulnerable to inter-extension attacks leading to XSS. Our empirical study uncovers a remarkable cluster of ""New Tab"" extensions where 4,410 extensions perform traffic stealing attacks. We suggest several avenues for the countermeasures against the uncovered attacks, ranging from refining the permission model to mitigating the attacks by declarations in manifest files.","2022","2024-10-25 09:42:13","2024-10-25 09:42:13","","1694–1703","","","","","","","SAC '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event","","","","web security; browser extensions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HL7MDQJX","conferencePaper","2016","Meng, Wei; Lee, Byoungyoung; Xing, Xinyu; Lee, Wenke","TrackMeOrNot: Enabling Flexible Control on Web Tracking","Proceedings of the 25th International Conference on World Wide Web","978-1-4503-4143-1","","10.1145/2872427.2883034","https://doi.org/10.1145/2872427.2883034","Recent advance in web tracking technologies has raised many privacy concerns. To combat users' fear of privacy invasion, online vendors have taken measures such as being more transparent with users about their data use and providing options for users to manage their online activities. Such efforts gain users' trust in online vendors and improve their willingness to share their digital footprints. However, there are still a significant amount of users who actively limit involuntarily sharing of data because vendor provided management tools only restrict the use of collected data and users worry vendors do not have enough measures in place to protect their privacy sensitive information.In this paper, we propose TrackMeOrNot, a new anti-tracking mechanism. It allows users to selectively share their online footprints with vendors. With TrackMeOrNot, users are no longer concerned with privacy. Using it, users can specify their privacy sensitive activities and selectively disclose their activities to vendors based on their specified privacy demands. We implemented TrackMeOrNot on Chromium browser and systematically evaluated its performance using a large set of test cases. We show that TrackMeOrNot can efficiently and effectively shield privacy sensitive browsing activities.","2016","2024-10-25 09:42:13","2024-10-25 09:42:13","","99–109","","","","","","","WWW '16","","","","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, CHE","","","","","","","","event-place: Montréal, Québec, Canada","","","","privacy; tracking; browser","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRNK9RWH","journalArticle","2022","Jha, Nikhil; Trevisan, Martino; Vassio, Luca; Mellia, Marco","The Internet with Privacy Policies: Measuring The Web Upon Consent","ACM Trans. Web","","1559-1131","10.1145/3555352","https://doi.org/10.1145/3555352","To protect user privacy, legislators have regulated the use of tracking technologies, mandating the acquisition of users’ consent before collecting data. As a result, websites started showing more and more consent management modules–i.e., Consent Banners–the visitors have to interact with to access the website content. Since these banners change the content the browser loads, they challenge web measurement collection, primarily to monitor the extent of tracking technologies, but also to measure web performance. If not correctly handled, Consent Banners prevent crawlers from observing the actual content of the websites.In this paper, we present a comprehensive measurement campaign focusing on popular websites in Europe and the US, visiting both landing and internal pages from different countries around the world. We engineer Priv-Accept, a Web crawler able to accept the Consent Banners, as most users would do in practice. It lets us compare how webpages change before and after accepting such policies, if present. Our results show that all measurements performed ignoring the Consent Banners offer a biased and partial view of the Web. After accepting the privacy policies, web tracking is far more pervasive, and webpages are larger and slower to load.","2022-09","2024-10-25 09:42:13","2024-10-25 09:42:13","","","","3","16","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","GDPR; Consent Banner; crawling; Web measurements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M2DUB6Y9","conferencePaper","2020","Andriamilanto, Nampoina; Allard, Tristan; Le Guelvouit, Gaëtan","FPSelect: Low-Cost Browser Fingerprints for Mitigating Dictionary Attacks against Web Authentication Mechanisms","Proceedings of the 36th Annual Computer Security Applications Conference","978-1-4503-8858-0","","10.1145/3427228.3427297","https://doi.org/10.1145/3427228.3427297","Browser fingerprinting consists into collecting attributes from a web browser. Hundreds of attributes have been discovered through the years. Each one of them provides a way to distinguish browsers, but also comes with a usability cost (e.g., additional collection time). In this work, we propose FPSelect, an attribute selection framework allowing verifiers to tune their browser fingerprinting probes for web authentication. We formalize the problem as searching for the attribute set that satisfies a security requirement and minimizes the usability cost. The security is measured as the proportion of impersonated users given a fingerprinting probe, a user population, and an attacker that knows the exact fingerprint distribution among the user population. The usability is quantified by the collection time of browser fingerprints, their size, and their instability. We compare our framework with common baselines, based on a real-life fingerprint dataset, and find out that in our experimental settings, our framework selects attribute sets of lower usability cost. Compared to the baselines, the attribute sets found by FPSelect generate fingerprints that are up to 97 times smaller, are collected up to 3,361 times faster, and with up to 7.2 times less changing attributes between two observations, on average.","2020","2024-10-25 09:42:13","2024-10-25 09:42:13","","627–642","","","","","","","ACSAC '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Austin, USA","","","","browser fingerprinting; multi-factor authentication; web authentication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXJXSPE7","conferencePaper","2014","Duman, Sevtap; Onarlioglu, Kaan; Ulusoy, Ali Osman; Robertson, William; Kirda, Engin","TrueClick: automatically distinguishing trick banners from genuine download links","Proceedings of the 30th Annual Computer Security Applications Conference","978-1-4503-3005-3","","10.1145/2664243.2664279","https://doi.org/10.1145/2664243.2664279","The ubiquity of Internet advertising has made it a popular target for attackers. One well-known instance of these attacks is the widespread use of trick banners that use social engineering techniques to lure victims into clicking on deceptive fake links, potentially leading to a malicious domain or malware. A recent and pervasive trend by attackers is to imitate the ""download"" or ""play"" buttons in popular file sharing sites (e.g., one-click hosters, video-streaming sites, bittorrent sites) in an attempt to trick users into clicking on these fake banners instead of the genuine link.In this paper, we explore the problem of automatically assisting Internet users in detecting malicious trick banners and helping them identify the correct link. We present a set of features to characterize trick banners based on their visual properties such as image size, color, placement on the enclosing webpage, whether they contain animation effects, and whether they consistently appear with the same visual properties on consecutive loads of the same webpage. We have implemented a tool called TrueClick, which uses image processing and machine learning techniques to build a classifier based on these features to automatically detect the trick banners on a webpage. Our approach automatically classifies trick banners, and requires no manual effort to compile blacklists as current approaches do. Our experiments show that TrueClick results in a 3.55 factor improvement in correct link selection in the absence of other ad blocking software, and that it can detect trick banners missed by a popular ad detection tool, Adblock Plus.","2014","2024-10-25 09:42:13","2024-10-25 09:42:13","","456–465","","","","","","","ACSAC '14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: New Orleans, Louisiana, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UK3VWVSI","conferencePaper","2022","Huo, Mingjia; Bland, Maxwell; Levchenko, Kirill","All Eyes On Me: Inside Third Party Trackers' Exfiltration of PHI from Healthcare Providers' Online Systems","Proceedings of the 21st Workshop on Privacy in the Electronic Society","978-1-4503-9873-2","","10.1145/3559613.3563190","https://doi.org/10.1145/3559613.3563190","In the United States, sensitive health information is protected under the Health Insurance Portability and Accountability Act (HIPAA). This act limits the disclosure of Protected Health Information (PHI) without the patient's consent or knowledge. However, as medical care becomes web-integrated, many providers have chosen to use third-party web trackers for measurement and marketing purposes. This presents a security concern: third-party JavaScript requested by an online healthcare system can read the website's contents, and ensuring PHI is not unintentionally or maliciously leaked becomes difficult. In this paper, we investigate health information breaches in online medical records, focusing on 459 online patient portals and 4 telehealth websites. We find 14% of patient portals include Google Analytics, which reveals (at a minimum) the fact that the user visited the health provider website, while 5 portals and 4 telehealth websites contained JavaScript-based services disclosing PHI, including medications and lab results, to third parties. The most significant PHI breaches were on behalf of Google and Facebook trackers. In the latter case, an estimated 4.5 million site visitors per month were potentially exposed to leaks of personal information (names, phone numbers) and medical information (test results, medications). We notified healthcare providers of the PHI breaches and found only 15.7% took action to correct leaks. Healthcare operators lacked the technical expertise to identify PHI breaches caused by third-party trackers. After notifying Epic, a healthcare portal vendor, of the PHI leaks, we received a prompt response and observed extensive mitigation across providers, suggesting vendor notification is an effective intervention against PHI disclosures.","2022","2024-10-25 09:42:13","2024-10-25 09:42:13","","197–211","","","","","","","WPES'22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Los Angeles, CA, USA","","","","web privacy; web tracking; hipaa; protected health information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
