"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QCIMCSDU","conferencePaper","2017","Garimella, Kiran; Kostakis, Orestis; Mathioudakis, Michael","Ad-blocking: A Study on Performance, Privacy and Counter-measures","Proceedings of the 2017 ACM on Web Science Conference","978-1-4503-4896-6","","10.1145/3091478.3091514","https://doi.org/10.1145/3091478.3091514","Many internet ventures rely on advertising for their revenue. However, users feel discontent by the presence of ads on the websites they visit, as the data-size of ads is often comparable to that of the actual content. This has an impact not only on the loading time of webpages, but also on the internet bill of the user in some cases. In absence of a mutually-agreed procedure for opting out of advertisements, many users resort to ad-blocking browser-extensions.In this work, we study the performance of popular ad-blockers on a large set of news websites. Moreover, we investigate the benefits of ad-blockers on user privacy as well as the mechanisms used by websites to counter them. Finally, we explore the traffic overhead due to the ad-blockers themselves.","2017","2024-10-25 10:34:41","2024-10-25 10:34:41","","259–262","","","","","","","WebSci '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Troy, New York, USA","","","","privacy; advertising; ad blocking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8QXTAJV","conferencePaper","2018","Bashir, Muhammad Ahmad; Arshad, Sajjad; Kirda, Engin; Robertson, William; Wilson, Christo","How Tracking Companies Circumvented Ad Blockers Using WebSockets","Proceedings of the Internet Measurement Conference 2018","978-1-4503-5619-0","","10.1145/3278532.3278573","https://doi.org/10.1145/3278532.3278573","In this study of 100,000 websites, we document how Advertising and Analytics (A&amp;A) companies have used WebSockets to bypass ad blocking, exfiltrate user tracking data, and deliver advertisements. Specifically, our measurements investigate how a long-standing bug in Chrome's (the world's most popular browser) chrome.webRequest API prevented blocking extensions from being able to interpose on WebSocket connections. We conducted large-scale crawls of top publishers before and after this bug was patched in April 2017 to examine which A&amp;A companies were using WebSockets, what information was being transferred, and whether companies altered their behavior after the patch. We find that a small but persistent group of A&amp;A companies use WebSockets, and that several of them engaged in troubling behavior, such as browser fingerprinting, exfiltrating the DOM, and serving advertisements, that would have circumvented blocking due to the Chrome bug.","2018","2024-10-25 10:34:41","2024-10-25 10:34:41","","471–477","","","","","","","IMC '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Boston, MA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYSTDCIA","conferencePaper","2020","Zimmeck, Sebastian; Alicki, Kuba","Standardizing and Implementing Do Not Sell","Proceedings of the 19th Workshop on Privacy in the Electronic Society","978-1-4503-8086-7","","10.1145/3411497.3420224","https://doi.org/10.1145/3411497.3420224","The California Consumer Privacy Act gives consumers the right to request that businesses do not sell their personal information. ""Selling” is defined broadly and covers, among others, making personal information available to ad networks on websites via third party cookies. We began standardizing and implementing Do Not Sell technologies with the goal of integrating Do Not Sell directly into browser settings. Based on OptMeowt, our proof of concept Do Not Sell browser extension, we conduct experiments on the design, implementation, and current state of Do Not Sell. OptMeowt automatically places Do Not Sell cookies on visited sites and sends Do Not Sell headers per our draft standard. We believe that standardizing Do Not Sell provides an important building block for evolving the web towards increased privacy protections.","2020","2024-10-25 10:34:41","2024-10-25 10:34:41","","15–20","","","","","","","WPES'20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, USA","","","","web privacy; online tracking; ad tracking; ccpa; cpra; dnt; do not sell; do not track; privacy rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQY2TQTA","conferencePaper","2020","Heitmann, Nadja; Pirker, Benedikt; Park, Sangyoung; Chakraborty, Samarjit","Towards Building Better Mobile Web Browsers for Ad Blocking: The Energy Perspective (WiP Paper)","The 21st ACM SIGPLAN/SIGBED Conference on Languages, Compilers, and Tools for Embedded Systems","978-1-4503-7094-3","","10.1145/3372799.3394372","https://doi.org/10.1145/3372799.3394372","Advertisements, or ads, are a major source of income for Internet-related service companies. Meanwhile, ads and trackers consume significant computing resources and power, which are crucial for mobile devices, and can drain a phone's battery. Moreover, most users find ads annoying, which led to the development of ad blockers. In this paper, we characterize the energy consumption of different ads. We find that ad blocking may either not affect the power consumption at all, or result in power savings of up to 50% dependent on the web site, reducing the battery life of the mobile device. Our studies are based on the ad blocking engines provided by the Brave browser. We believe that our results might impact how such engines can be designed in the future.","2020","2024-10-25 10:34:41","2024-10-25 10:34:41","","146–150","","","","","","","LCTES '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: London, United Kingdom","","","","ad power consumption; advertisement energy consumption; browser power consumption; browser power management; mobile web advertisement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGDBFRAV","conferencePaper","2023","McQuistin, Stephen; Snyder, Peter; Perkins, Colin; Haddadi, Hamed; Tyson, Gareth","A First Look at the Privacy Harms of the Public Suffix List","Proceedings of the 2023 ACM on Internet Measurement Conference","9798400703829","","10.1145/3618257.3624836","https://doi.org/10.1145/3618257.3624836","The public suffix list is a community-maintained list of rules that can be applied to domain names to determine how they should be grouped into logical organizations or companies. We present the first large-scale measurement study of how the public suffix list is used by open-source software on the Web and the privacy harm resulting from projects using outdated versions of the list. We measure how often developers include out-of-date versions of the public suffix list in their projects, how old included lists are, and estimate the real-world privacy harm with a model based on a large-scale crawl of the Web. We find that incorrect use of the public suffix list is common in open-source software, and that at least 43 open-source projects use hard-coded, outdated versions of the public suffix list. These include popular, security-focused projects, such as password managers and digital forensics tools. We also estimate that, because of these out-of-date lists, these projects make incorrect privacy decisions for 1313 effective top-level domains (eTLDs), affecting 50,750 domains, by extrapolating from data gathered by the HTTP Archive project.","2023","2024-10-25 10:34:41","2024-10-25 10:34:41","","383–390","","","","","","","IMC '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Montreal QC, Canada","","","","web privacy; domain boundaries","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVZT422G","conferencePaper","2023","Reitinger, Nathan; Wen, Bruce; Mazurek, Michelle L.; Ur, Blase","Analysis of Google Ads Settings Over Time: Updated, Individualized, Accurate, and Filtered","Proceedings of the 22nd Workshop on Privacy in the Electronic Society","9798400702358","","10.1145/3603216.3624968","https://doi.org/10.1145/3603216.3624968","Advertising companies and data brokers often provide consumers access to a dashboard summarizing attributes they have collected or inferred about that user. These attributes can be used for targeted advertising. Several studies have examined the accuracy of these collected attributes or users' reactions to them. However, little is known about how these dashboards, and the associated attributes, change over time. Here, we report data from a week-long, longitudinal study (n=158) in which participants used a browser extension automatically capturing data from one dashboard, Google Ads Settings, after every fifth website the participant visited. The results show that Ads Settings is frequently updated, includes many attributes unique to only a single participant in our sample, and is approximately 90% accurate when assigning age and gender. We also find evidence that Ads Settings attributes may dynamically impact browsing behavior and may be filtered to remove sensitive interests.","2023","2024-10-25 10:34:41","2024-10-25 10:34:41","","167–172","","","","","","","WPES '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Copenhagen, Denmark","","","","privacy; measurement; web tracking; user study; transparency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE2W974F","conferencePaper","2023","Lopes, Daniela; Castro, Daniel; Barradas, Diogo; Santos, Nuno","TIGER: Tor Traffic Generator for Realistic Experiments","Proceedings of the 22nd Workshop on Privacy in the Electronic Society","9798400702358","","10.1145/3603216.3624960","https://doi.org/10.1145/3603216.3624960","Tor is the most widely adopted anonymity network, helping safeguard the privacy of Internet users, including journalists and human rights activists. However, effective attacks aimed at deanonymizing Tor users' remains a significant threat. Unfortunately, evaluating the impact such attacks by collecting realistic Tor traffic without gathering real users' data poses a significant challenge. This paper introduces TIGER (Tor traffIc GEnerator for Realistic experiments), a novel framework that automates the generation of realistic Tor traffic datasets towards improving our understanding of the robustness of Tor's privacy mechanisms. To this end, TIGER allows researchers to design large-scale testbeds and collect data on the live Tor network while responsibly avoiding the need to collect real users' traffic. We motivate the usefulness of TIGER by collecting a preliminary dataset with applicability to the evaluation of traffic confirmation attacks and defenses.","2023","2024-10-25 10:34:41","2024-10-25 10:34:41","","147–152","","","","","","","WPES '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Copenhagen, Denmark","","","","web privacy; traffic analysis; tor; dataset generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
