"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tracking hierarchical structure of web video groups based on salient keyword matching including semantic broadness estimation","R. Harakawa; T. Ogawa; M. Haseyama","Graduate School of Information Science and Technology, Hokkaido University, Kita-ku, Sapporo, Japan; Graduate School of Information Science and Technology, Hokkaido University, Kita-ku, Sapporo, Japan; Graduate School of Information Science and Technology, Hokkaido University, Kita-ku, Sapporo, Japan",2016 IEEE Global Conference on Signal and Information Processing (GlobalSIP),"24 Apr 2017","2016","","","1238","1242","This paper presents a novel method to track the hierarchical structure of Web video groups on the basis of salient keyword matching including semantic broadness estimation. To the best of our knowledge, this paper is the first work to perform extraction and tracking of the hierarchical structure simultaneously. Specifically, the proposed method first extracts the hierarchical structure of Web video groups and salient keywords of them on the basis of an improved scheme of our previously reported method. Moreover, to calculate similarities between Web video groups obtained in different time stamps, salient keyword matching is newly developed by considering both co-occurrences of the salient keywords and semantic broadness of each Web video group. Consequently, tracking of the hierarchical structure over time becomes feasible to easily understand popularity trends of many Web videos for realizing effective retrieval.","","978-1-5090-4545-7","10.1109/GlobalSIP.2016.7906039","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7906039","Hierarchical structure;Web video;video retrieval;salient keyword;semantic broadness","Semantics;Target tracking;Market research;Estimation;Feature extraction;Entropy;Search engines","","1","","27","IEEE","24 Apr 2017","","","IEEE","IEEE Conferences"
"Covid Explorer- A Web Based Covid Analysis and Tracking","F. Chauhan; J. Kumar; Manish; S. Sahana; S. Das","Department of Computer Science and Engineering, SET, Sharda University, Uttar Pradesh, India; Department of Computer Science and Engineering, SET, Sharda University, Uttar Pradesh, India; Department of Computer Science and Engineering, SET, Sharda University, Uttar Pradesh, India; Department of Computer Science and Engineering, SET, Sharda University, Uttar Pradesh, India; Department of Computer Sc, Indira Gandhi National Tribal University-RCM, India",2022 IEEE IAS Global Conference on Emerging Technologies (GlobConET),"9 Sep 2022","2022","","","1119","1122","In this paper, Covid Explorer model’s aim is to provide information on Covid 19 like-how you can prevent the Corona Virus, symptoms of Corona Virus or how to book slots for the Corona Virus. You can add the current data related to Covid 19 like a graph indicated the increase or decrease of death rate from this virus, a report is given to show the death rate, the number of vaccines doses given on a particular day, state wise cases are also shown through Application Programming Interface (API) in Covid Explorer model. The model is analyzing and tracking Corona Virus. As per the data analysis this pandemic creates mental health issues but if a model gave up-to date data of the current scenario then stress can be overcome and society can fight against this pandemic.","","978-1-6654-4357-9","10.1109/GlobConET53749.2022.9872355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9872355","Covid 19 Precautions;Covid 19 Symptoms;Mental Health;Covid tracking SARS-COV","COVID-19;Analytical models;Data analysis;Pandemics;Mental health;Data models;Corona","","1","","11","IEEE","9 Sep 2022","","","IEEE","IEEE Conferences"
"User-centered technique for managing and tracking modification requests in prototype-based web applications","S. N. A. Kamalzaman; S. Sulaiman; S. M. Syed-Mohamad","School of Computer Sciences, Universiti Sains Islam Malaysia, Penang, Malaysia; School of Computer Sciences, Universiti Sains Islam Malaysia, Penang, Malaysia; School of Computer Sciences, Universiti Sains Islam Malaysia, Penang, Malaysia",2011 Malaysian Conference in Software Engineering,"26 Jan 2012","2011","","","165","170","Nowadays, a lot of development of Web applications use prototyping approach such as throw-away prototyping and evolutionary prototyping. In order to fulfill the users' requirements, developers need to communicate with the users, therefore prototyping is widely used in software development to assist these developers. As we develop Web application and release them as a number of versions or releases of prototype, it constantly requires changes to evolve and meet users' specific requirements. Thus, prototyping approach may cause more maintenance cost to be incurred due to scope creep during software development. In addition, it provides the challenges to a maintenance team who is mostly not the actual development team, to manage and track maintenance process of such Web applications. This paper proposes a user-centered technique for managing and tracking modification requests in a Web application. We anticipate that the proposed technique can assist maintainers to manage and track modification of a Web application in more effective and efficient manner by capturing, classifying and validating the enhancement requests, problem report and modification requests directly from the users during the prototyping process itself. This in turn will avoid unexpected modification requests once we release the Web application and to allow the tracing of both enhancement and problem report during prototyping and modification requests and problem report during maintenance.","","978-1-4577-1531-0","10.1109/MySEC.2011.6140663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6140663","software prototyping;enhancement request;software maintenance;modification requests;protoype-based Web applications","Maintenance engineering;Software maintenance;History;Prototypes;Programming;Project management","","1","","26","IEEE","26 Jan 2012","","","IEEE","IEEE Conferences"
"Summary Report for the Data Exploration in the Web 3.0 Age (DEW) Track","M. Atzori; B. Pes","Dipartimento di Matematica e Informatica, Universitá degli Studi di Cagliari, Cagliari, Italy; Dipartimento di Matematica e Informatica, Universitá degli Studi di Cagliari, Cagliari, Italy",2018 IEEE 27th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),"18 Oct 2018","2018","","","139","141","Data Exploration in the Web 3.0 Age (DEW) is a track of the IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE). DEW aims at bringing together researchers and practitioners from both the Academia and Industry working in the areas related to data exploration, in a very broad sense. The track welcomes contributions from data mining, query languages, data visualization, graph databases and other fields related to the analysis and exploitation of data. This summary report includes a brief description of the papers accepted for presentation at the 2018 edition of DEW.","1524-4547","978-1-5386-6916-7","10.1109/WETICE.2018.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8495923","Data Exploration;Web and Semantic Web;Data Mining","Conferences;Collaboration;Cognition;Big Data;Text mining;Social network services","","1","","11","IEEE","18 Oct 2018","","","IEEE","IEEE Conferences"
"Monitoring CMS tracker construction and data quality using a Grid/Web service based on a visualization tool","G. Zito; M. S. Mennea; A. Regano","Dipartimento Interateneo di Fisica, INFN sezione di Bari, Bari, Italy; Dipartimento Interateneo di Fisica, INFN sezione di Bari, Bari, Italy; Dipartimento Interateneo di Fisica, INFN sezione di Bari, Bari, Italy",IEEE Symposium Conference Record Nuclear Science 2004.,"1 Aug 2005","2004","3","","1820","1823 Vol. 3","The complexity of the CMS tracker (more than 50 million channels to monitor) now in construction in ten laboratories worldwide with hundreds of interested people, will require new tools for monitoring both the hardware and the software. In our approach we use both visualization tools and Grid services to make this monitoring possible. The use of visualization enables us to represent in a single computer screen all those million channels at once. The Grid will make it possible to get enough data and computing power in order to check every channel and also to reach the experts everywhere in the world allowing the early discovery of problems. We report here on a first prototype developed using the Grid environment already available now in CMS i.e. LCG2. This prototype consists on a Java client which implements the GUI for tracker visualization and two data servers connected to the tracker construction database and to Grid catalogs of event datasets. All the communication between client and servers is done using data encoded in XML and standard Internet protocols.","1082-3654","0-7803-8701-5","10.1109/NSSMIC.2004.1462597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1462597","","Collision mitigation;Web services;Data visualization;Computerized monitoring;Prototypes;Web server;Laboratories;Hardware;Software tools;Grid computing","","1","","8","IEEE","1 Aug 2005","","","IEEE","IEEE Conferences"
"Implementation of Motor Vehicle Tracking Software-as-a-Service (SaaS) Application Based on Progressive Web App","P. R. Wijaya; P. V. Crisgar; M. D. F. Pakpahan; E. Y. Syamsuddin; M. O. Hasanuddin","School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia",2021 International Symposium on Electronics and Smart Devices (ISESD),"12 Aug 2021","2021","","","1","6","The current condition information on the vehicle system developed must be easily accepted by the user. The use will vary greatly, both the type of string used and the operating system. If the application is developed according to each user, this will be very inefficient. Therefore we need an application development technique that can be easily accessed by each user. Advances in web application development have supported web pages to have capabilities close to natively developed applications. This development, known as Progressive Web App (PWA), allows for the integration of web-based applications with native applications, where web applications will be able to enable native applications, especially in the development of multi-platform applications that can be accessed by various devices with different operating systems. In this project, a comparison will be made of PWA-based applications with native applications through the literature. Then, a PWA application was developed in the form of a vehicle-based supporting device developed as a Service or Software-as-a-Service (SaaS) which has the capability to monitor motorized car ferries from Internet-of-Things (IoT) devices, as well as alerting against attempt to steal the vehicle. Through the string, the user can access the web application and then change the desired information mode. The results of testing the functionality above the statement, and being able to combine user management security functionality so that access to certain data is restricted to each user account.","","978-1-6654-4146-9","10.1109/ISESD53023.2021.9501600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9501600","Progressive Web App;Service Worker;Cross-platform;Cross-platform Development;Mobile Web;SaaS;Tracking","Operating systems;Software as a service;Data acquisition;Web pages;Real-time systems;Automobiles;Security","","1","","9","IEEE","12 Aug 2021","","","IEEE","IEEE Conferences"
"Measuring the learners' learning style based on tracks analysis in web based learning","N. Bousbia; A. Balla; I. Rebai","LCMS-ESI Ecole nationale Supérieure Informatique, Algeria; LCMS-ESI Ecole nationale Supérieure Informatique, Algeria; LIMSI-CNRS, Université de Paris-Sud, Orsay, France",2009 IEEE Symposium on Computers and Communications,"18 Aug 2009","2009","","","98","103","Track analysis in hypermedia environments has become a hot research topic over the last decades. The main goal of this research is to help teachers to perceive and interpret the learner's activities in elearning situations, by exploiting and analyzing the tracks and providing knowledge on the activities, that we call learning indicators. In this paper, we present our initial proposal to automatically determine the learners' learning style in web based learning from learning indicators. The advantage of this approach is that it allows having a dynamically updated value of the learning style provided by the interpretation of tracks on the learner's activities. Furthermore, we propose the modeling of the learning style as a classification of the styles models proposed in the literature that can be detected in such a context. Thus the approach is independent of a particular learning style model. It is implemented in IDLS, a track based system. Through this system, we describe the main detections steps.","1530-1346","978-1-4244-4672-8","10.1109/ISCC.2009.5202282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5202282","","Electronic learning;Context modeling;Navigation;Proposals;Organizing;Visualization;Education;Animation;Search engines;Uniform resource locators","","1","","30","IEEE","18 Aug 2009","","","IEEE","IEEE Conferences"
"Resource tracking in institutions using semantic web","D. Venkataraman; P. D. Bharathi","Amrita Vishwa Vidyapeetham, Amrita University, India; Amrita Vishwa Vidyapeetham, Coimbatore, Tamil Nadu, IN",2017 4th International Conference on Advanced Computing and Communication Systems (ICACCS),"24 Aug 2017","2017","","","1","4","The semantic web is evolving and helping users to find, share, understand and combine the information and be processed by the automated tools. With the traditional web, it is a time-consuming and tedious task to find the necessary information. By using the semantic web, we obtain information in a way that is more efficient and fast and avoid all the unnecessary data. Semantic web helps to make intelligent decisions by understanding the meaning of data. Educational institutions have the requirement of keeping track of resources like students, faculty, visitors etc. In our work, we have recorded the information of various resources of the institution in Web Ontology Language (OWL) using Protege tool. Then the SPARQL Query is used to acquire useful information. This helps to keep track of the various required resources. The developed ontology can be extended and reused by other institutions based on the need.","","978-1-5090-4559-4","10.1109/ICACCS.2017.8014700","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8014700","Semantic web;ontology;Protege;SPARQL;resource tracking","Ontologies;Resource description framework;OWL;Semantics;XML;Data mining","","1","","8","IEEE","24 Aug 2017","","","IEEE","IEEE Conferences"
"A Web Service Architecture for Tracking and Analyzing Data from Distributed E-Learning Environments","A. Askinadze; S. Conrad","Institute of Computer Science, Heinrich Heine University of Düsseldorf, Düsseldorf, Germany; Institute of Computer Science, Heinrich Heine University of Düsseldorf, Düsseldorf, Germany",2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),"10 Aug 2017","2017","","","208","213","Modern e-learning systems offer students many interactive learning elements such as videos or quiz questions. For the optimization of the teaching, the learning elements themselves and the prediction of student performance, it is important for educators to figure out how student interactions can be tracked and how the tracked data can be used. Modern learning courses can consist of different Software-as-a-Service products by third-party providers. These learning elements and the associated learning environments can be both heterogeneous and distributed. This requires advanced tracking methods. For these reasons, a tracking architecture that is capable of tracking and integrating the data of different learning environments is needed. Based on the xAPI specification, we provide such an architecture in this paper.","","978-1-5386-1759-5","10.1109/WETICE.2017.52","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8003818","tracking architecture;distributed learning","Computer architecture;Servers;HTML;Electronic learning;Blogs;Databases","","1","","19","IEEE","10 Aug 2017","","","IEEE","IEEE Conferences"
"The framework of a web-enabled defect tracking system","A. b. Abd Rahman","School of Economics and Management, Zhengzhou University of Light Industry, Zhengzhou, P.R., China","The 6th International Conference on Advanced Communication Technology, 2004.","4 Oct 2004","2004","2","","690","695","This paper presents an evaluation and investigation of issues to implement a defect management system; a tool used to understand and predict software product quality and software process efficiency. The scope is to simplify the process of defect tracking through a web-enabled application. The system will enable project management, development, quality assurance and software engineer to track and manage problem specifically defects in the context of software project. A collaborative function is essential as this will enable users to communicate in real time mode. This system makes key defect tracking coordination and information available disregards the geographical and time factor.","","89-5519-119-7","10.1109/ICACT.2004.1292958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1292958","defect tracking;web-enabled;defect;bugs;quality assurance;quality","Software quality;Costs;Quality management;Software tools;Project management;Quality assurance;Programming;Computer bugs;Application software;Software measurement","","1","1","2","IEEE","4 Oct 2004","","","IEEE","IEEE Conferences"
"Research and Design of Moving Target Detection and Tracking System Based on Web Server","J. Gao","School of Physics and Information Engineering, Fuzhou University, Fuzhou, China","2020 5th International Conference on Communication, Image and Signal Processing (CCISP)","3 Dec 2020","2020","","","246","250","We present an algorithm to improve the detection and tracking of moving target. Combined with the ORB feature detection operator, the center of the target is estimated, and a kind of anti-shadow interference and good matching target detection algorithm is designed. Combined the adaptive filter, a motion object tracking algorithm that resists background color interference and resists short-term occlusion is designed. This paper implements target tracking on embedded ARM-Linux system, completes the design of image acquisition module, image preprocessing design, transplantation of moving target detection and tracking algorithm, and design of video transmission module based on RTP protocol. Finally, web client is designed to view the system's tracking effect. The experimental results show that the system algorithm has a certain ability of anti-illumination and background color interference, and it has adaptability to the short-term occlusion of the target and improves the algorithm detection accuracy, increasing processing time accordingly, decreasing tracking error, with good real-time and accuracy.","","978-1-7281-8589-7","10.1109/CCISP51026.2020.9273492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9273492","detection;embedded;openCV;tracking","Target tracking;Feature extraction;Linux;Interference;Cameras;Streaming media;Object detection","","1","","8","IEEE","3 Dec 2020","","","IEEE","IEEE Conferences"
"Data Statistic and Analysis System of College Track and Field Games Based on Web","X. Jun; Z. Yijie",HeBei University of Architecture; HeBei North University,2015 Sixth International Conference on Intelligent Systems Design and Engineering Applications (ISDEA),"2 May 2016","2015","","","269","273","In order to solve the problems in managing and organizing track and field games, this paper develops a set of information management system for college track and field games. At first, this paper applies genetic algorithm to perform pre-competition grouping and track management for players to offer decision making service preparation of pre-track and field games. Performance management in competition and curve surrounding method are used to perform grouping, track management for semi-final competitors and provide decision making service for management during competition. Then, rough set method is used to perform statistics and analysis on various data after competition to obtain corresponding and understandable rules to offer competition managers decision service, so that management in track and field games is more reasonable, scientific and efficient to provide more reliable decision basis for sports education management.","","978-1-4673-9393-5","10.1109/ISDEA.2015.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462612","sport game;oblique line passing method;data mining;grouping;GA","Games;Genetic algorithms;Target tracking;Computers;Sociology;Statistics;Data mining","","","","5","IEEE","2 May 2016","","","IEEE","IEEE Conferences"
"Severe weather event detection and tracking Sensor Web","G. Yu; Liping Di; Peichuan Li; Peisheng Zhao; J. F. Moses","Center of Spatial Information Science and Systems, George Mason University, Greenbelt, MD, USA; Center of Spatial Information Science and Systems, George Mason University, Greenbelt, MD, USA; Center of Spatial Information Science and Systems, George Mason University, Greenbelt, MD, USA; Center of Spatial Information Science and Systems, George Mason University, Greenbelt, MD, USA; Goddard Space Flight Center, NASA, Greenbelt, MD, USA",2009 17th International Conference on Geoinformatics,"23 Oct 2009","2009","","","1","5","Detecting and tracking of severe weather events requires the fast and no-delay processing of data from observing sensors to end users. This study adopted the Sensor Web technology and framework in expediting the analytical process from sensor observation to climatic information. A set of algorithms for detecting and tracking severe weather events was adopted and supported with standard geospatial Web processing services. The study exemplified the procedure for designing a geospatial workflow, deploying a workflow, and executing a workflow. The workflow was described in Business Execution Language (BPEL). The design and construction of a geospatial workflow involve a domain scientist, a developer, a workflow visual design tool, and a workflow engine. The standard interfaces are built on open scripting language, Web services, Web Processing Service (WPS), Web Coverage Service (WCS), Web Feature Service (WFS), and Web Map Service (WMS). The workflow construction and design built a virtual product/service that synergies raw data, algorithms, Web Services to reach the post conditions: persistent data served in standard geospatial Web services, algorithms wrapped as standard WPS processes, composite service (or a workflow) executable automatically in standard workflow engines, and geospatial features described in Geography Markup Language (GML) that can be shared across and supported widely by software platform.","2161-0258","978-1-4244-4562-2","10.1109/GEOINFORMATICS.2009.5293500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5293500","Sensor Web;Web Processing Service;workflow;BPEL;severe weather event","Event detection;Sensor systems;Web services;NASA;Software standards;Satellites;Space technology;Information analysis;Engines;Software algorithms","","","","17","IEEE","23 Oct 2009","","","IEEE","IEEE Conferences"
"Analysis of syntactic elements and structure of web pages using eye-tracking technology","M. Radecký; J. Vykopal; P. Smutný","Department of Computer Science, FEECS, VŠB-Technical University of Ostrava, Ostrava, Czech Republic; Department of Computer Science, FEECS, VŠB-Technical University of Ostrava, Ostrava, Czech Republic; Department of Control Systems and Instrumentation, FME, VŠB-Technical University of Ostrava, Ostrava, Czech Republic",Proceedings of the 2015 16th International Carpathian Control Conference (ICCC),"2 Jul 2015","2015","","","420","425","As web pages are becoming increasingly complex, with images and different page layouts, understanding how users examine the page is important. We used eye-tracking analysis of user behavior and performance in the use of web. Using GP3 Eye Tracker we created tracking system, which take into account syntactic elements and content structure of the tested web pages.","","978-1-4799-7370-5","10.1109/CarpathianCC.2015.7145116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7145116","eye-tracking;user interface;syntactic analysis","Tracking;IP networks;Heating;Extraterrestrial measurements","","","","11","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"Tracking frequent traversal areas in a Web site via log analysis","Yuh-Chi Lin; P. Hadingham","Department of Computer Science, University of Western Australia, Crawley, WA, Australia; Department of Computer Science, University of Western Australia, Crawley, WA, Australia",Proceedings Seventh International Conference on Parallel and Distributed Systems: Workshops,"6 Aug 2002","2000","","","321","325","In this paper, we explore the problem of analyzing frequently traversed spots in a Web site. We first construct a support knowledge base from Web logs and formulate the problem of tracking frequent traversal areas as a problem of finding strongly connected components in a digraph. We successfully incorporated the tracking features into our test Web site. Our experiments show that our approach can be useful in the innovative applications such as Web promotion, banner ads, and Web content design in the electronic commerce.","","0-7695-0571-6","10.1109/PADSW.2000.884617","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=884617","","Testing;Computer science;Electronic commerce;Web server;Marketing management;Statistical analysis;Internet;Pattern analysis;Data mining;Clustering algorithms","","","2","11","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Tracking Marine Microplastic Monitoring Through the NOAA NCEI Global Marine Microplastic Concentrations ESRI ArcGIS Online Experience Builder Web Application","J. Webster; E. Nyadjro; G. Kaltenberger; T. Toft; L. Collazo; Y. Lau; Z. Wang; T. Boyer; P. Mickle; K. Larsen","NESDIS / National Centers for Environmental Information, Stennis Space Center, National Oceanic and Atmospheric Administration, MS, USA; Stennis Space Center, Northern Gulf Institute, MS, USA; Stennis Space Center, General Dynamics Information Technology, MS, USA; Stennis Space Center, General Dynamics Information Technology, MS, USA; Stennis Space Center, General Dynamics Information Technology, MS, USA; Stennis Space Center, Northern Gulf Institute, MS, USA; NESDIS / National Centers for Environmental Information, Stennis Space Center, National Oceanic and Atmospheric Administration, MS, USA; NESDIS / National Centers for Environmental Information, Stennis Space Center, National Oceanic and Atmospheric Administration, MS, USA; Stennis Space Center, Northern Gulf Institute, MS, USA; NESDIS / National Centers for Environmental Information, Stennis Space Center, National Oceanic and Atmospheric Administration, MS, USA",OCEANS 2023 - MTS/IEEE U.S. Gulf Coast,"11 Dec 2023","2023","","","1","5","Microplastic (less than 5 mm) pollution is a growing problem affecting coastal communities, marine ecosystems, aquatic life, and human health. Aquatic biota such as plankton, fishes, and shrimp ingest microplastics that interfere with organ functions, reduce growth, and eventually kill these organisms. Microplastics can also bioaccumulate in humans through the consumption of seafood, possibly leading to oxidative stress and cell damage. The increasing concern about microplastic pollution has led to a rapid growth in research in this area in recent years, generating a large volume of data. Despite the growing awareness, there is still a lack of large-scale, long-term, comprehensive data to enable a complete understanding of the sources, distribution, and impacts of this man-made environmental hazard. The National Oceanic and Atmospheric Administration (NOAA) National Centers for Environmental Information (NCEI) database collates and archives microplastic data from large ocean surveys, citizen-science led initiatives, and published literature sources across the globe. To offer open access to this marine microplastics data globally, NOAA NCEI has developed an easily discoverable ESRI ArcGIS Online Experience Builder web map and data portal. The objective of this web application is to provide a user friendly, consistent, and reliable gateway to serve the datasets in the repository where data on microplastic concentrations are aggregated and archived. This work contributes to NCEI's efforts towards data integration, harmonization, and interoperability among national and international collaborators for monitoring global marine microplastics. In concert with national and international efforts, NCEI aims to adapt to user needs as contributors to this rapidly evolving science come to a consensus on reporting metrics and sampling methods. Through this data visualization and access portal application, researchers and interested groups are able to access and analyze data that will enable new insights in holistic understanding of the global microplastic problem.","0197-7385","979-8-218-14218-6","10.23919/OCEANS52994.2023.10337148","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337148","microplastics;GIS map portal;citizen science;published data;global ocean;data archive","Surveys;Pollution;Oceans;Sea measurements;Sampling methods;US Government agencies;Reliability","","","","5","","11 Dec 2023","","","IEEE","IEEE Conferences"
"A Novel Sensor Web System for Tracking and Surveillance","R. Palaniappan; P. Wahid; L. Barolli","Institute of Simulation & Training, University of Central Florida, Orlando, FL, USA; Institute of Simulation & Training, University of Central Florida, Orlando, FL, USA; Faculty of Information Engineering, Fukuoka Institute of Technology, Fukuoka, Japan","2010 International Conference on Complex, Intelligent and Software Intensive Systems","15 Apr 2010","2010","","","238","244","Current sensor network technology for detection and tracking are focused solely in terms of static networks and suffers from device specific inadequacies such as lack of coverage, power and fault tolerance. Failing nodes result in coverage loss or breakage in connectivity and hence there is a pressing need for a robust system. In this work a unique sensor network is fielded that uses multiple frequencies and transmit powers to improve coverage. A novel approach to track a sensor node is also presented. Simulation data is compared to experimental results for validation.","","978-1-4244-5918-6","10.1109/CISIS.2010.123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5447428","multiple frequencies;tracking system","Sensor systems;Surveillance;Wireless sensor networks;Sensor phenomena and characterization;Wearable sensors;Intelligent sensors;Frequency;Target tracking;Transceivers;Batteries","","","","9","IEEE","15 Apr 2010","","","IEEE","IEEE Conferences"
"Eye Tracking in Usability Evaluation of User Experience on Enrichment Apps Web for Internship Program at XYZ University","A. E. Pirus; J. Yulin; M. F. Danuaji; D. W. Sukmaningsih","School of Information Systems, Bina Nusantara University, Jakarta, Indonesia; School of Information Systems, Bina Nusantara University, Jakarta, Indonesia; School of Information Systems, Bina Nusantara University, Jakarta, Indonesia; School of Information Systems, Bina Nusantara University, Jakarta, Indonesia",2023 10th International Conference on ICT for Smart Society (ICISS),"27 Oct 2023","2023","","","1","6","Internship activities are one of the activities of students to prepare themselves to enter the world of work. To support these activities, The university develops web applications where students can report their activities and lectures can supervise them. The XYZ University enrichment apps web is a website for making reports related to activities during the period consisting of daily, monthly, and final reports along with the tasks given by XYZ University while working in the company carried out by internship students. The enrichment apps web has several menu tabs with functions and objectives for internship students and companies. However, the enrichment web still needs to improve regarding user experience for internship students. The author gets information about the problem through social media that reviews the enrichment apps web. This study aims to determine the level of User Experience of Student Interns in accessing the XYZ University enrichment apps web and analyze features for the needs of XYZ University student interns. The research method used is the usability evaluation method, consisting of usability testing, SUS questionnaire, quantitative questionnaire, Eye-Tracking, and Think-Aloud Interview. The sample of this research is 10 internship students who studied at XYZ University with Effectiveness (91%), Efficiency (89.6%), and Satisfaction (53%), then the final result is 78%.","","979-8-3503-3954-3","10.1109/ICISS59129.2023.10291901","Bina Nusantara University(grant numbers:IDR001004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10291901","Enrichment Website Services;User Experience;Usability Evaluation","Social networking (online);Reviews;Gaze tracking;Companies;User experience;Robustness;Usability;Task analysis;Interviews;Testing","","","","20","IEEE","27 Oct 2023","","","IEEE","IEEE Conferences"
"Evidencija — Web application for tracking of teaching activities","M. Pilja; V. Tomasevic","Univerzitet Singidunum, Beograd, Serbia; Univerzitet Singidunum, Beograd, Serbia",2012 20th Telecommunications Forum (TELFOR),"24 Jan 2013","2012","","","1500","1503","A web application for tracking of teaching activities intended for university teachers is described in this paper. It supports different organization of the courses by study programs, levels, school years, teaching locations, etc. The application keeps the record of student results itemized by courses and school years including their activities, as well as the preexam and exam achievements. The application can exchange data with the environment allowing the access to the tools for automatic assessment.","","978-1-4673-2984-2","10.1109/TELFOR.2012.6419504","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6419504","evidencija;nastava;uspeh studenata;WAMP;web aplikacija","Educational institutions;HTML;Web servers;Cascading style sheets","","","","9","IEEE","24 Jan 2013","","","IEEE","IEEE Conferences"
"Development of photovoltaic module tracking and web based data acquisition system","N. Khera; S. Singh; A. Sharma; S. Kumar","Deptt. of ECE, ASET Amity University, NOIDA, Uttar Pradesh, India; Deptt. of ECE, ASET Amity University, NOIDA, Uttar Pradesh, India; Deptt. of ECE, ASET Amity University, NOIDA, Uttar Pradesh, India; Deptt. of ECE, ASET Amity University, NOIDA, Uttar Pradesh, India",2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT),"27 Apr 2017","2016","","","100","103","In this paper, the development of photovoltaic module tracking and web based data acquisition system for real-time monitoring of electrical parameter of photovoltaic module and the direct solar insolation has been proposed. The main objective of this paper is to evaluate the performance of proposed photovoltaic module of photovoltaic system by remotely collecting the onsite data during its standstill and tracking mode operation and also to obtain the solar insolation over a period of time. The collected data is continuously stored on the hard disk of user computer as MS Excel file for further analysis. The proposed system can be used to analyze the performance of different photovoltaic modules before selecting them as in an array of photovoltaic system.","","978-1-5090-2399-8","10.1109/ICATCCT.2016.7911972","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7911972","data acquisition system;microcontroller;Photovoltaic module;sensors","Photovoltaic systems;Voltage measurement;Data acquisition;Microcontrollers;Condition monitoring;Monitoring","","","","12","IEEE","27 Apr 2017","","","IEEE","IEEE Conferences"
