"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards accurate detection of obfuscated web tracking","H. Le; F. Fallace; P. Barlet-Ros","Universitat Politecnica de Catalunya, UPC-BarcelonaTech, Barcelona, Spain; Universitat Politecnica de Catalunya, UPC-BarcelonaTech, Barcelona, Spain; Universitat Politecnica de Catalunya, UPC-BarcelonaTech, Barcelona, Spain",2017 IEEE International Workshop on Measurement and Networking (M&N),"23 Oct 2017","2017","","","1","6","Web tracking is currently recognized as one of the most important privacy threats on the Internet. Over the last years, many methodologies have been developed to uncover web trackers. Most of them are based on static code analysis and the use of predefined blacklists. However, our main hypothesis is that web tracking has started to use obfuscated programming, a transformation of code that renders previous detection methodologies ineffective and easy to evade. In this paper, we propose a new methodology based on dynamic code analysis that monitors the actual JavaScript calls made by the browser and compares them to the original source code of the website in order to detect obfuscated tracking. The main advantage of this approach is that detection cannot be evaded by code obfuscation. We applied this methodology to detect the use of canvas-font tracking and canvas fingerprinting on the top-10K most visited websites according to Alexa's ranking. Canvas-based tracking is a fingerprinting method based on JavaScript that uses the HTML5 canvas element to uniquely identify a user. Our results show that 10.44% of the top-10K websites use canvas-based tracking (canvas-font and canvas fingerprinting), while obfuscation was used in 2.25% of them. These results confirm our initial hypothesis that obfuscated programming in web tracking is already in use. Finally, we argue that canvas-based tracking can be more present in secondary pages than in the home page of websites.","","978-1-5090-5679-8","10.1109/IWMN.2017.8078365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8078365","Fingerprinting;Canvas fingerprinting;Canvas-based Tracking;Obfuscated tracking;Web tracking;JavaScript","Browsers;Tools;Privacy;Web services;Static analysis;Companies","","11","","25","IEEE","23 Oct 2017","","","IEEE","IEEE Conferences"
"WTAGRAPH: Web Tracking and Advertising Detection using Graph Neural Networks","Z. Yang; W. Pei; M. Chen; C. Yue",Colorado School of Mines; Colorado School of Mines; Appen; Colorado School of Mines,2022 IEEE Symposium on Security and Privacy (SP),"27 Jul 2022","2022","","","1540","1557","Web tracking and advertising (WTA) nowadays are ubiquitously performed on the web, continuously compromising users’ privacy. Existing defense solutions, such as widely deployed blocking tools based on filter lists and alternative machine learning based solutions proposed in prior research, have limitations in terms of accuracy and effectiveness. In this work, we propose WTAGRAPH, a web tracking and advertising detection framework based on Graph Neural Networks (GNNs). We first construct an attributed homogenous multi-graph (AHMG) that represents HTTP network traffic, and formulate web tracking and advertising detection as a task of GNN-based edge representation learning and classification in AHMG. We then design four components in WTAGRAPH so that it can (1) collect HTTP network traffic, DOM, and JavaScript data, (2) construct AHMG and extract corresponding edge and node features, (3) build a GNN model for edge representation learning and WTA detection in the transductive learning setting, and (4) use a pre-trained GNN model for WTA detection in the inductive learning setting. We evaluate WTAGRAPH on a dataset collected from Alexa Top 10K websites, and show that WTAGRAPH can effectively detect WTA requests in both transductive and inductive learning settings. Manual verification results indicate that WTAGRAPH can detect new WTA requests that are missed by filter lists and recognize non-WTA requests that are mistakenly labeled by filter lists. Our ablation analysis, evasion evaluation, and real-time evaluation show that WTAGRAPH can have a competitive performance with flexible deployment options in practice.","2375-1207","978-1-6654-1316-9","10.1109/SP46214.2022.9833670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833670","web tracking and advertising;privacy;graph neural networks","Representation learning;Privacy;Image edge detection;Telecommunication traffic;Manuals;Information filters;Graph neural networks","","11","","64","IEEE","27 Jul 2022","","","IEEE","IEEE Conferences"
"Third-Party Web Tracking: Policy and Technology","J. R. Mayer; J. C. Mitchell","University of Stanford, Stanford, CA, USA; University of Stanford, Stanford, CA, USA",2012 IEEE Symposium on Security and Privacy,"9 Jul 2012","2012","","","413","427","In the early days of the web, content was designed and hosted by a single person, group, or organization. No longer. Webpages are increasingly composed of content from myriad unrelated ""third-party"" websites in the business of advertising, analytics, social networking, and more. Third-party services have tremendous value: they support free content and facilitate web innovation. But third-party services come at a privacy cost: researchers, civil society organizations, and policymakers have increasingly called attention to how third parties can track a user's browsing activities across websites. This paper surveys the current policy debate surrounding third-party web tracking and explains the relevant technology. It also presents the FourthParty web measurement platform and studies we have conducted with it. Our aim is to inform researchers with essential background and tools for contributing to public understanding and policy debates about web tracking.","2375-1207","978-0-7695-4681-0","10.1109/SP.2012.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6234427","Web privacy;third-party tracking;Do Not Track","Privacy;Advertising;Companies;Security;History;Economics","","243","20","113","IEEE","9 Jul 2012","","","IEEE","IEEE Conferences"
"Hybrid Information Flow Monitoring against Web Tracking","F. Besson; N. Bielova; T. Jensen","INRIA, Rennes, France; INRIA, Rennes, France; INRIA, Rennes, France",2013 IEEE 26th Computer Security Foundations Symposium,"12 Sep 2013","2013","","","240","254","Motivated by the problem of stateless web tracking (fingerprinting), we propose a novel approach to hybrid information flow monitoring by tracking the knowledge about secret variables using logical formulae. This knowledge representation helps to compare and improve precision of hybrid information flow monitors. We define a generic hybrid monitor parametrised by a static analysis and derive sufficient conditions on the static analysis for soundness and relative precision of hybrid monitors. We instantiate the generic monitor with a combined static constant and dependency analysis. Several other hybrid monitors including those based on well-known hybrid techniques for information flow control are formalised as instances of our generic hybrid monitor. These monitors are organised into a hierarchy that establishes their relative precision. The whole framework is accompanied by a formalisation of the theory in the Coq proof assistant.","2377-5459","978-0-7695-5031-2","10.1109/CSF.2013.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6595832","hybrid information flow monitoring;web tracking;quantitative information flow","Monitoring;Browsers;Security;Semantics;Reactive power;Approximation methods;Context","","15","","31","IEEE","12 Sep 2013","","","IEEE","IEEE Conferences"
"ePrivo.eu: An Online Service for Automatic Web Tracking Discovery","I. Castell-Uroz; I. Douha-Prieto; M. Basart-Dotras; P. Mesegué-Molina; P. Barlet-Ros","Department of Computer Architectures, Universitat Politècnica de Catalunya, Barcelona, Spain; Department of Computer Architectures, Universitat Politècnica de Catalunya, Barcelona, Spain; Department of Computer Architectures, Universitat Politècnica de Catalunya, Barcelona, Spain; Department of Computer Architectures, Universitat Politècnica de Catalunya, Barcelona, Spain; Department of Computer Architectures, Universitat Politècnica de Catalunya, Barcelona, Spain",IEEE Access,"2 Mar 2023","2023","11","","19669","19679","Given the pervasiveness of web tracking practices on the Internet, many countries are developing and enforcing new privacy regulations to ensure the rights of their citizens. However, discovering websites that do not comply with those regulations is becoming very challenging, given the dynamic nature of the web or the use of obfuscation techniques. This work presents ePrivo, a new online service that can help Internet users, website owners, and regulators inspect how privacy-friendly a given website is. The system explores all the content of the website, including traffic from third parties and dynamically modified content. The ePrivo service combines different state-of-the-art tracking detection and classification methods, including TrackSign, to discover both previously known and zero-day tracking methods. After 6 months of service, ePrivo detected the largest browsing history trackers and more than 40k domains including cookies with a lifespan longer than one year, which is forbidden in some countries.","2169-3536","","10.1109/ACCESS.2023.3247863","Spanish I+D+i Project TRAINER-A, funded by MCIN/AEI/10.13039/501100011033(grant numbers:PID2020-118011GB-C21); Catalan Institution for Research and Advanced Studies (ICREA Academia); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10050035","Fingerprinting;privacy;web tracking;web embedding","Regulation;Privacy;Internet;Codes;Fingerprint recognition;Law;Data privacy;Websites;Tracking","","","","37","CCBY","22 Feb 2023","","","IEEE","IEEE Journals"
"Web Tracking Site Detection Based on Temporal Link Analysis","A. Yamada; H. Masanori; Y. Miyake","KDD Research and Development Laboratories, Inc., Saitama, Japan; KDD Research and Development Laboratories, Inc., Saitama, Japan; KDD Research and Development Laboratories, Inc., Saitama, Japan",2010 IEEE 24th International Conference on Advanced Information Networking and Applications Workshops,"7 Jun 2010","2010","","","626","631","Web tracking sites or Web bugs are potential but serious threats to users' privacy during Web browsing. Web sites and their associated advertising sites surreptitiously gather the profiles of visitors and possibly abuse or improperly expose them, even if visitors do not provide their profiles consciously. In order to prevent such activities in a corporate network, most companies employ filters that rely on blacklists, however, these lists are insufficient. In this paper, we propose Web tracking sites detection and blacklist generation based on temporal link analysis. Our proposal analyzes traffic at the network gateway so that it can monitor all tracking sites in the administrative network. The proposed algorithm constructs a graph between sites and their visited time in order to characterize each site. Then, the system classifies suspicious sites using machine-learning algorithms. We confirm that 62-73% blacklisted sites are detected by the proposed system, and 96% of unlisted sites are unknown or suspicious tracking sites.","","978-1-4244-6702-0","10.1109/WAINA.2010.134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5480340","Tracking site;Web bug;Temporal Link Analysis;Machine Learning","Conferences","","7","1","27","IEEE","7 Jun 2010","","","IEEE","IEEE Conferences"
"The integrated gaze, web and object tracking techniques for the web-based e-learning platform","Chiao-Wen Kao; Yu-Ju Huang; Kuo-Chin Fan; Hui-Hui Chen; Wen-Chang Chung; Bor-Jiunn Hwang; Chaur-Heh Hsieh","Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taoyuan, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taoyuan, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taoyuan, Taiwan; Department of Computer and Communication Engineering, Ming Chuan University, Taoyuan, Taiwan","Proceedings of 2013 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","7 Nov 2013","2013","","","720","724","Most web-based e-learning platforms for teaching and learning can record individual action history of the access to course materials and activities. In general, the click through rate (CTR) is recorded as the action to represent the history of people who review the course online. By analyzing CTR only would exclude the important information from the visual behaviors. This study proposed a different method for collecting navigation behaviors. A method uses a web-based camera with the techniques of analyzing the source codes and tracking the objects of web pages and puts people in a more natural and undisturbed environment.","","978-1-4673-6355-6","10.1109/TALE.2013.6654531","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6654531","gaze tracking system;behavior analysis;elearning platform","Electronic learning;Visualization;Feature extraction;Navigation;Conferences;Materials","","2","","14","IEEE","7 Nov 2013","","","IEEE","IEEE Conferences"
"After GDPR, Still Tracking or Not? Understanding Opt-Out States for Online Behavioral Advertising","T. Sakamoto; M. Matsunaga","Intelligent Systems Laboratory, SECOM Co., Ltd., Tokyo, Japan; Intelligent Systems Laboratory, SECOM Co., Ltd., Tokyo, Japan",2019 IEEE Security and Privacy Workshops (SPW),"19 Sep 2019","2019","","","92","99","A recent trend in Internet advertising has been online behavioral advertising (OBA). For users concerned about their privacy, ad agencies provide an OBA opt-out opportunity. However, previous work has shown that many users misunderstand what it means to have opted out on an opt-out website. In fact, ad agencies still track the browsers of users who have opted out of OBA. In this study, we clarified what it means to be in the OBA opt-out state by crawling numerous websites and collecting browser cookies. Moreover, we analyzed the difference between the attitudes of agencies regarding OBA between before and after the EU General Data Protection Regulation (GDPR) was implemented. We found that around half of agencies stop web tracking after opt-out. However, some agencies start tracking again when users begin browsing, so the number of agencies stopping web tracking eventually declines. Furthermore, we found no evidence of a difference in agency attitudes between before and after GDPR implementation.","","978-1-7281-3508-3","10.1109/SPW.2019.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8844599","opt-out, online behavioral advertising, web tracking, web privacy, GDPR","Browsers;Optimized production technology;Advertising;General Data Protection Regulation;Crawlers;Privacy;Guidelines","","12","","34","IEEE","19 Sep 2019","","","IEEE","IEEE Conferences"
"Track Summary Report for the Data Exploration in the Web 3.0 Age (DEW) Track","M. Atzori; N. Dessì; B. Pes","Department of Math/CS, University of Cagliari, Cagliari, Italy; Department of Math/CS, University of Cagliari, Cagliari, Italy; Department of Math/CS, University of Cagliari, Cagliari, Italy",2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),"10 Aug 2017","2017","","","155","157","The goal of the Data Exploration in the Web 3.0 Age (DEW 2017) conference track has been bringing together researchers and practitioners from both the Academia and Industry working in the areas related to data exploration, in a very broad sense. The track welcomes contributions from data mining, query languages, data visualization, graph databases and other fields related to the analysis and exploitation of data. This paper is a Summary Report for the Data Exploration in the Web 3.0 Age (DEW) Track that includes the list of accepted papers.","","978-1-5386-1759-5","10.1109/WETICE.2017.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8003807","Data Exploration;Data Mining;Track Report","Data mining;Semantic Web;Semantics;Electronic publishing;Encyclopedias","","1","","18","IEEE","10 Aug 2017","","","IEEE","IEEE Conferences"
"Web2Touch Track Report: 5th Track on Modeling the Collaborative Web Knowledge","O. Nabuco; R. Bonacin; M. Fugini; M. R. da Silveira","CTI Renato Archer, Campinas, Sao Paulo, Brazil; CTI Renato Archer, Campinas, Sao Paulo, Brazil; Politecnico di Milano, Milan, Italy; CRP Henri Tudor, Luxembourg, Luxembourg",2012 IEEE 21st International Workshop on Enabling Technologies: Infrastructure for Collaborative Enterprises,"16 Aug 2012","2012","","","429","431","As ontologies and web oriented applications blossom around the world, tools for supporting users in their growing demands for semantics technologies and data-intensive research support are more and more needed. Our glance is on the Web as a framework which is continuously evolving toward semantics, services, social networks, ontologies, and a Web of ""things"".","1524-4547","978-1-4673-1888-4","10.1109/WETICE.2012.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6269774","","Ontologies;Green products;Semantics;Web services;Educational institutions;Filtering","","","","","IEEE","16 Aug 2012","","","IEEE","IEEE Conferences"
